country,item_names,item_prices_usd,categoria_propia
Mexico,McMeal at McDonalds(or Equivalent Combo Meal),8.84,Restaurantes
Georgia,McMeal at McDonalds(or Equivalent Combo Meal),8.12,Restaurantes
Kazakhstan,McMeal at McDonalds(or Equivalent Combo Meal),6.55,Restaurantes
Hong Kong (China),McMeal at McDonalds(or Equivalent Combo Meal),5.76,Restaurantes
Azerbaijan,McMeal at McDonalds(or Equivalent Combo Meal),7.65,Restaurantes
Poland,McMeal at McDonalds(or Equivalent Combo Meal),7.44,Restaurantes
Slovakia,McMeal at McDonalds(or Equivalent Combo Meal),8.59,Restaurantes
Czech Republic,McMeal at McDonalds(or Equivalent Combo Meal),7.72,Restaurantes
Chile,McMeal at McDonalds(or Equivalent Combo Meal),7.91,Restaurantes
Serbia,McMeal at McDonalds(or Equivalent Combo Meal),7.79,Restaurantes
Qatar,McMeal at McDonalds(or Equivalent Combo Meal),7.69,Restaurantes
United Arab Emirates,McMeal at McDonalds(or Equivalent Combo Meal),9.53,Restaurantes
South Africa,McMeal at McDonalds(or Equivalent Combo Meal),4.58,Restaurantes
Turkey,McMeal at McDonalds(or Equivalent Combo Meal),6.18,Restaurantes
Belarus,McMeal at McDonalds(or Equivalent Combo Meal),4.6,Restaurantes
Russia,McMeal at McDonalds(or Equivalent Combo Meal),4.35,Restaurantes
Moldova,McMeal at McDonalds(or Equivalent Combo Meal),6.8,Restaurantes
South Korea,McMeal at McDonalds(or Equivalent Combo Meal),5.87,Restaurantes
Jordan,McMeal at McDonalds(or Equivalent Combo Meal),7.06,Restaurantes
Argentina,McMeal at McDonalds(or Equivalent Combo Meal),6.0,Restaurantes
Cuba,McMeal at McDonalds(or Equivalent Combo Meal),6.67,Restaurantes
Palestine,McMeal at McDonalds(or Equivalent Combo Meal),7.52,Restaurantes
Jamaica,McMeal at McDonalds(or Equivalent Combo Meal),6.71,Restaurantes
Saudi Arabia,McMeal at McDonalds(or Equivalent Combo Meal),7.47,Restaurantes
Japan,McMeal at McDonalds(or Equivalent Combo Meal),4.89,Restaurantes
Kuwait,McMeal at McDonalds(or Equivalent Combo Meal),7.4,Restaurantes
Mauritius,McMeal at McDonalds(or Equivalent Combo Meal),5.41,Restaurantes
Ukraine,McMeal at McDonalds(or Equivalent Combo Meal),5.06,Restaurantes
Brazil,McMeal at McDonalds(or Equivalent Combo Meal),6.85,Restaurantes
Bosnia And Herzegovina,McMeal at McDonalds(or Equivalent Combo Meal),5.49,Restaurantes
North Macedonia,McMeal at McDonalds(or Equivalent Combo Meal),4.88,Restaurantes
Oman,McMeal at McDonalds(or Equivalent Combo Meal),7.79,Restaurantes
Uzbekistan,McMeal at McDonalds(or Equivalent Combo Meal),4.0,Restaurantes
Taiwan,McMeal at McDonalds(or Equivalent Combo Meal),4.74,Restaurantes
Colombia,McMeal at McDonalds(or Equivalent Combo Meal),6.53,Restaurantes
Iraq,McMeal at McDonalds(or Equivalent Combo Meal),6.12,Restaurantes
Libya,McMeal at McDonalds(or Equivalent Combo Meal),4.12,Restaurantes
Peru,McMeal at McDonalds(or Equivalent Combo Meal),5.33,Restaurantes
Iran,McMeal at McDonalds(or Equivalent Combo Meal),4.0,Restaurantes
Kenya,McMeal at McDonalds(or Equivalent Combo Meal),5.19,Restaurantes
Egypt,McMeal at McDonalds(or Equivalent Combo Meal),4.17,Restaurantes
Ecuador,McMeal at McDonalds(or Equivalent Combo Meal),7.0,Restaurantes
Philippines,McMeal at McDonalds(or Equivalent Combo Meal),3.49,Restaurantes
Morocco,McMeal at McDonalds(or Equivalent Combo Meal),5.95,Restaurantes
China,McMeal at McDonalds(or Equivalent Combo Meal),5.25,Restaurantes
Tunisia,McMeal at McDonalds(or Equivalent Combo Meal),4.77,Restaurantes
Sri Lanka,McMeal at McDonalds(or Equivalent Combo Meal),6.75,Restaurantes
India,McMeal at McDonalds(or Equivalent Combo Meal),4.2,Restaurantes
Malaysia,McMeal at McDonalds(or Equivalent Combo Meal),3.8,Restaurantes
Bolivia,McMeal at McDonalds(or Equivalent Combo Meal),7.25,Restaurantes
Thailand,McMeal at McDonalds(or Equivalent Combo Meal),5.43,Restaurantes
Algeria,McMeal at McDonalds(or Equivalent Combo Meal),3.74,Restaurantes
Nigeria,McMeal at McDonalds(or Equivalent Combo Meal),5.88,Restaurantes
Vietnam,McMeal at McDonalds(or Equivalent Combo Meal),4.72,Restaurantes
Nepal,McMeal at McDonalds(or Equivalent Combo Meal),7.5,Restaurantes
Indonesia,McMeal at McDonalds(or Equivalent Combo Meal),3.11,Restaurantes
Bangladesh,McMeal at McDonalds(or Equivalent Combo Meal),4.57,Restaurantes
Pakistan,McMeal at McDonalds(or Equivalent Combo Meal),3.59,Restaurantes
Switzerland,Domestic Beer(0.5 liter draught),7.71,Restaurantes
Denmark,Domestic Beer(0.5 liter draught),7.2,Restaurantes
United States,Domestic Beer(0.5 liter draught),6.0,Restaurantes
Belgium,Domestic Beer(0.5 liter draught),4.29,Restaurantes
Luxembourg,Domestic Beer(0.5 liter draught),5.37,Restaurantes
United Kingdom,Domestic Beer(0.5 liter draught),5.65,Restaurantes
Israel,Domestic Beer(0.5 liter draught),8.06,Restaurantes
Canada,Domestic Beer(0.5 liter draught),5.85,Restaurantes
Norway,Domestic Beer(0.5 liter draught),9.11,Restaurantes
Netherlands,Domestic Beer(0.5 liter draught),5.37,Restaurantes
Ireland,Domestic Beer(0.5 liter draught),6.44,Restaurantes
Australia,Domestic Beer(0.5 liter draught),7.23,Restaurantes
Greece,Domestic Beer(0.5 liter draught),4.83,Restaurantes
Uruguay,Domestic Beer(0.5 liter draught),3.78,Restaurantes
Cyprus,Domestic Beer(0.5 liter draught),3.76,Restaurantes
Austria,Domestic Beer(0.5 liter draught),4.83,Restaurantes
Italy,Domestic Beer(0.5 liter draught),5.37,Restaurantes
Malta,Domestic Beer(0.5 liter draught),3.76,Restaurantes
France,Domestic Beer(0.5 liter draught),6.44,Restaurantes
Finland,Domestic Beer(0.5 liter draught),7.51,Restaurantes
New Zealand,Domestic Beer(0.5 liter draught),5.97,Restaurantes
Germany,Domestic Beer(0.5 liter draught),4.29,Restaurantes
Spain,Domestic Beer(0.5 liter draught),3.22,Restaurantes
Estonia,Domestic Beer(0.5 liter draught),5.1,Restaurantes
Slovenia,Domestic Beer(0.5 liter draught),3.22,Restaurantes
Lithuania,Domestic Beer(0.5 liter draught),4.83,Restaurantes
Sweden,Domestic Beer(0.5 liter draught),6.91,Restaurantes
Singapore,Domestic Beer(0.5 liter draught),7.39,Restaurantes
Portugal,Domestic Beer(0.5 liter draught),2.68,Restaurantes
Latvia,Domestic Beer(0.5 liter draught),4.29,Restaurantes
